Provincia;Municipio;;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Precio gasolina 95 E25;Precio gasolina 95 E85;Precio AdBlue;Precio diesel renovable;Precio gasolina renovable	;Precio metanol	;Precio  amoniaco	;Precio BGNC	;Precio BGNL;Rótulo;Tipo venta;Rem.;Horario;;;
BALEARS (ILLES);EIVISSA;;EIVISSA;07800;MUELLE COMERCIAL, S/Nº;1,439183;38,913817;;;;735,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
BALEARS (ILLES);MERCADAL (ES);;FORNELLS;07748;PASSATGE ES PLA S/N;4,129750;40,056806;1,759;;1,609;;;;;;;;;;;;U.S.PUERTO FORNELLS;Suministro a barcos deportivos o de recreo;dm;X: 09:00-13:00;;;
BALEARS (ILLES);PALMA DE MALLORCA;;PALMA;07001;MUELLE VIEJO, S/N ESPIGÓN EXTERIOR;2,638278;39,564667;;;1,500;;;;;;;;;;;;STP;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;;;
BALEARS (ILLES);PALMA DE MALLORCA;;PALMA;07012;MUELLE VIEJO, S/Nº (EL MOLLET);2,640572;39,566595;;;1,588;735,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
BALEARS (ILLES);PALMA DE MALLORCA;;PALMA;07015;AVENIDA INGENIERO GABRIEL ROCA S/N;2,625639;39,556722;1,630;;;;1510,000;;;;;;;;;;CLUB DE MAR - MALLORCA;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-20:00;;;
BALEARS (ILLES);POLLENÇA;;POLLENÇA;07460;MUELLE VIEJO, S/N;3,085361;39,904222;;;;735,000;;;;;;;;;;;POR RELLENAR;Mixto;OM;L-D: 08:00-13:00 y 15:30-19:30;;;
BALEARS (ILLES);POLLENÇA;;PORT DE POLLENÇA;07470;MUELLE VIEJO, S/N;3,083333;39,900000;1,629;;1,529;;;;;;;;;;;;RCNPP;Suministro a barcos deportivos o de recreo;dm;L-D: 08:30-13:00 y 15:00-19:00;;;
BALEARS (ILLES);SANTANYÍ;;CALA FIGUERA;07659;MUELLE, S/Nº SANTANY;3,170294;39,331317;;;;735,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
BALEARS (ILLES);SÓLLER;;SOLLER;07100;MUELLE COMERCIAL, S/Nº;2,694461;39,797150;1,627;;1,588;735,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
BALEARS (ILLES);SON SERVERA;;CALA BONA;07559;NUEVO PUERTO DE LAREDO, S/Nº;3,392472;39,613917;;;1,588;735,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 09:00-13:00 y 15:00-20:00;;;
BARCELONA;BARCELONA;;BARCELONA;08003;MUELLE DE BALEARES, S/Nº;2,185510;41,372778;;;;697,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
BARCELONA;BARCELONA;;BARCELONA;08005;S/N;2,334889;41,649278;1,639;;1,509;;;;;;;;;;;;AUTONETOIL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-22:00;;;
BARCELONA;BARCELONA;;BARCELONA;08001;PS JOAN DE BORBO 103;2,186639;41,363417;1,669;;;;1539,000;;;;;;;;;;SHELL;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
BARCELONA;SITGES;;SITGES;08870;TORRE CAPITANIA  S N    PUERTO DEPORTIVO AIGUADOLC;;;1,614;;1,508;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 09:30-18:30;;;
BARCELONA;SITGES;;GARRAF;08870;PORT DEL GARRAF;1,900056;41,249306;1,549;;1,499;;;;;;;;;;;;PETROPRIX;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00;;;
BARCELONA;VILANOVA I LA GELTRÚ;;VILANOVA I LA GELTRU;08800;LG ENTRE MUELLE DE LA LLOTJA Y PESCADO;1,735861;41,215917;;;;685,000;;;;;;;;;;;COFRADIA DE PESCADORS DE VILANOVA I LA GELTRU;Suministro a pesqueros;dm;L-D: 24H;;;
BIZKAIA;BERMEO;;BERMEO;48370;MUELLE NUEVO S/Nº;-2,718222;43,417250;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
